customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaymentMethod,MonthlyCharges,Churn
CUST100027,Female,0.0,No,No,12.0,Yes,DSL,No internet service,No,No,Month-to-month,Mailed check,115.5,No
CUST100028,,0.0,No,Yes,40.0,Yes,No,Yes,No,No,One year,Bank transfer (automatic),64.1,No
CUST100029,Male,0.0,Yes,Yes,5.0,Yes,No,No internet service,,No internet service,Month-to-month,Electronic check,117.06,No
CUST100030,Male,0.0,No,Yes,4.0,No,Fiber optic,No,Yes,No internet service,,Credit card (automatic),118.28,No
CUST100031,Male,1.0,No,Yes,45.0,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Electronic check,93.84,No
CUST100032,Male,0.0,No,No,,Yes,,,Yes,No,Month-to-month,Electronic check,100.37,No
CUST100033,Female,0.0,Yes,Yes,50.0,Yes,Fiber optic,No,No internet service,Yes,Two year,Credit card (automatic),29.64,Yes
CUST100034,Female,0.0,Yes,Yes,11.0,Yes,DSL,No,No internet service,No,Month-to-month,Mailed check,45.57,No
CUST100035,Male,0.0,No,Yes,8.0,No,DSL,No internet service,No,Yes,Month-to-month,Mailed check,30.49,Yes
CUST100036,Female,1.0,Yes,,51.0,Yes,No,No internet service,Yes,No internet service,Month-to-month,Credit card (automatic),33.63,Yes
CUST100037,Female,0.0,Yes,No,14.0,Yes,Fiber optic,No,No internet service,No,Month-to-month,Electronic check,97.28,Yes
CUST100038,Male,1.0,No,Yes,4.0,Yes,,No,No,Yes,One year,,38.88,No
CUST100039,Female,0.0,Yes,No,,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),56.56,No
CUST100040,Male,0.0,No,,50.0,Yes,Fiber optic,No,Yes,No,One year,Electronic check,62.52,No
CUST100041,Female,0.0,No,No,66.0,Yes,DSL,No internet service,No,Yes,Month-to-month,Bank transfer (automatic),24.97,Yes
CUST100042,Female,0.0,Yes,Yes,43.0,Yes,DSL,Yes,No,No,One year,Electronic check,105.85,No
CUST100043,Male,0.0,No,No,34.0,Yes,No,No internet service,No,Yes,Month-to-month,Mailed check,104.26,No
CUST100044,Male,0.0,No,Yes,48.0,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Mailed check,19.95,No
CUST100045,Female,1.0,No,Yes,,No,Fiber optic,Yes,No internet service,No internet service,One year,Electronic check,78.4,No
CUST100046,Male,0.0,Yes,Yes,45.0,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Credit card (automatic),79.05,Yes
CUST100047,Female,0.0,No,,22.0,No,DSL,No,Yes,No internet service,Month-to-month,Bank transfer (automatic),81.76,No
CUST100048,Female,0.0,No,Yes,64.0,Yes,Fiber optic,No internet service,No internet service,Yes,,Mailed check,44.39,No
CUST100049,Female,1.0,No,No,50.0,Yes,DSL,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),35.25,Yes
CUST100050,Female,0.0,,No,63.0,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Mailed check,26.83,No
CUST100051,Male,0.0,No,Yes,,Yes,DSL,No,Yes,Yes,Two year,Mailed check,91.57,No
CUST100052,Male,,Yes,Yes,32.0,Yes,No,Yes,No,No internet service,One year,Electronic check,68.22,No
CUST100053,Male,0.0,Yes,Yes,60.0,Yes,No,No,Yes,No internet service,Two year,Credit card (automatic),80.5,No
CUST100054,Male,0.0,No,Yes,44.0,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),74.88,No
CUST100055,Male,0.0,Yes,Yes,55.0,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,Mailed check,85.11,No
CUST100056,Female,0.0,Yes,No,64.0,No,No,No,Yes,No internet service,Two year,Bank transfer (automatic),89.96,No
CUST100057,Male,0.0,No,No,20.0,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),39.59,No
CUST100058,Female,0.0,Yes,No,13.0,Yes,No,No internet service,No,No internet service,Month-to-month,Electronic check,88.17,No
CUST100059,Female,0.0,No,Yes,10.0,Yes,No,No,No,No internet service,Month-to-month,Bank transfer (automatic),46.15,No
CUST100060,Female,0.0,Yes,No,43.0,Yes,No,No,No internet service,Yes,Month-to-month,Bank transfer (automatic),20.82,No
CUST100061,Female,0.0,No,Yes,58.0,Yes,DSL,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),101.53,No
CUST100062,Male,0.0,No,No,70.0,Yes,Fiber optic,,Yes,Yes,Month-to-month,Electronic check,94.67,No
CUST100063,Female,0.0,,No,2.0,Yes,Fiber optic,No,No,Yes,Two year,Credit card (automatic),94.76,No
CUST100064,Male,1.0,No,Yes,0.0,Yes,No,No,No internet service,No internet service,One year,Bank transfer (automatic),56.32,No
CUST100065,Male,0.0,Yes,No,48.0,Yes,Fiber optic,,Yes,No,Month-to-month,Electronic check,96.9,No
CUST100066,Female,0.0,No,Yes,19.0,Yes,No,Yes,No,Yes,One year,Bank transfer (automatic),47.57,No
CUST100067,Male,0.0,Yes,Yes,34.0,Yes,No,Yes,No,No,Two year,Credit card (automatic),48.4,No
CUST100068,Male,0.0,No,No,5.0,Yes,No,No internet service,Yes,No internet service,Month-to-month,Electronic check,55.32,No
CUST100069,Male,0.0,No,No,5.0,Yes,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Electronic check,91.8,No
CUST100070,Female,0.0,,No,38.0,Yes,Fiber optic,No,No,No internet service,Two year,Credit card (automatic),43.33,No
CUST100071,Male,0.0,Yes,Yes,49.0,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,25.58,No
CUST100072,Male,,No,Yes,63.0,Yes,No,,Yes,No internet service,Month-to-month,Mailed check,44.44,No
CUST100073,Male,0.0,No,Yes,34.0,Yes,DSL,No,Yes,No internet service,Month-to-month,Credit card (automatic),64.84,No
CUST100074,Female,1.0,No,No,46.0,Yes,DSL,No internet service,Yes,No,Two year,Credit card (automatic),50.53,Yes
CUST100075,Male,0.0,Yes,Yes,61.0,,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Mailed check,91.41,No
CUST100076,Male,0.0,No,No,31.0,Yes,Fiber optic,No,Yes,No internet service,Two year,Bank transfer (automatic),25.89,No
CUST100077,Male,0.0,Yes,Yes,15.0,Yes,Fiber optic,No internet service,No,Yes,One year,Credit card (automatic),84.91,Yes
CUST100078,Female,0.0,No,Yes,,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,50.01,No
CUST100079,Female,0.0,No,,0.0,Yes,No,Yes,No,No internet service,,Credit card (automatic),36.75,No
CUST100080,Female,,No,Yes,19.0,Yes,No,No,No,No internet service,Month-to-month,Credit card (automatic),41.79,No
CUST100081,Male,0.0,Yes,No,9.0,Yes,,No internet service,No,No,One year,Bank transfer (automatic),38.25,No
CUST100082,Male,0.0,Yes,Yes,46.0,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),105.82,No
CUST100083,Female,0.0,No,Yes,19.0,Yes,DSL,Yes,No internet service,Yes,,Electronic check,48.14,No
CUST100084,Female,1.0,Yes,No,24.0,Yes,No,,Yes,No,Month-to-month,Credit card (automatic),100.91,No
CUST100085,Female,0.0,Yes,No,46.0,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Mailed check,47.59,Yes
CUST100086,Male,0.0,,,21.0,Yes,Fiber optic,No internet service,No,No internet service,One year,Bank transfer (automatic),18.38,No
CUST100087,Male,0.0,No,Yes,26.0,Yes,,No internet service,Yes,No internet service,Two year,Credit card (automatic),18.7,No
CUST100088,Female,1.0,Yes,No,35.0,Yes,No,No internet service,No,No,Two year,Mailed check,55.51,No
CUST100089,Female,0.0,No,Yes,8.0,,Fiber optic,Yes,No,No internet service,Month-to-month,Electronic check,105.13,No
CUST100090,Male,0.0,Yes,No,67.0,Yes,No,No,No,No internet service,,Electronic check,78.36,No
CUST100091,Female,0.0,No,No,70.0,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),,No
CUST100092,Female,0.0,Yes,No,51.0,Yes,DSL,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),,No
CUST100093,Male,0.0,Yes,No,7.0,Yes,No,No internet service,Yes,Yes,Two year,Electronic check,46.08,No
CUST100094,Female,1.0,No,No,34.0,Yes,DSL,No internet service,No internet service,No,One year,Bank transfer (automatic),83.58,No
CUST100095,Male,0.0,Yes,,25.0,Yes,DSL,Yes,No,No internet service,One year,Electronic check,77.1,No
CUST100096,Male,0.0,Yes,No,11.0,Yes,DSL,No,No internet service,No,One year,Bank transfer (automatic),21.55,Yes
CUST100097,Female,0.0,No,Yes,63.0,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Mailed check,74.42,No
CUST100098,Female,0.0,No,No,29.0,Yes,DSL,No,No internet service,Yes,Month-to-month,Credit card (automatic),82.34,No
CUST100099,Male,1.0,No,No,46.0,Yes,Fiber optic,No,No,No internet service,Two year,Mailed check,55.58,No
CUST100100,Female,,Yes,Yes,49.0,Yes,No,Yes,No internet service,Yes,Month-to-month,Credit card (automatic),52.88,Yes
CUST100101,Male,0.0,No,Yes,23.0,Yes,DSL,No,No,No internet service,One year,Credit card (automatic),98.32,
CUST100102,Female,0.0,Yes,No,25.0,Yes,DSL,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),55.83,No
CUST100103,Male,0.0,No,No,69.0,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Mailed check,47.22,No
CUST100104,Female,0.0,No,Yes,59.0,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Bank transfer (automatic),98.04,Yes
CUST100105,Female,0.0,No,No,36.0,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Bank transfer (automatic),118.45,Yes
CUST100106,Female,0.0,No,No,38.0,Yes,Fiber optic,No internet service,,No internet service,One year,Bank transfer (automatic),36.85,Yes
CUST100107,Female,0.0,No,Yes,0.0,No,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),56.6,No
CUST100108,Male,0.0,Yes,Yes,14.0,Yes,No,No,Yes,No internet service,Month-to-month,Mailed check,18.27,Yes
CUST100109,Female,0.0,No,No,0.0,No,Fiber optic,No internet service,No,Yes,Two year,Credit card (automatic),67.54,No
CUST100110,Male,,No,Yes,58.0,Yes,No,Yes,No,No internet service,Month-to-month,Credit card (automatic),46.85,No
CUST100111,Female,0.0,No,Yes,67.0,No,Fiber optic,,No,No internet service,Month-to-month,Mailed check,102.21,No
CUST100112,Female,0.0,Yes,No,11.0,Yes,DSL,Yes,Yes,Yes,One year,Electronic check,111.41,No
CUST100113,Male,1.0,No,No,20.0,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Credit card (automatic),29.85,No
CUST100114,Female,0.0,Yes,No,25.0,Yes,No,Yes,No internet service,No,Month-to-month,Electronic check,106.11,No
CUST100115,Female,1.0,No,No,58.0,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,39.93,
CUST100116,Male,0.0,No,Yes,29.0,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,,49.41,No
CUST100117,Male,0.0,No,No,3.0,Yes,No,No internet service,No internet service,Yes,Two year,Credit card (automatic),108.35,No
CUST100118,Male,0.0,No,No,42.0,Yes,No,No,No internet service,No,Month-to-month,Electronic check,55.26,Yes
CUST100119,Male,0.0,Yes,,10.0,No,DSL,Yes,No internet service,No internet service,Month-to-month,Credit card (automatic),19.72,No
CUST100120,Male,0.0,Yes,No,46.0,No,DSL,No,No,No,One year,Credit card (automatic),23.28,No
CUST100121,Female,0.0,Yes,No,61.0,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Credit card (automatic),,No
CUST100122,Female,0.0,No,Yes,4.0,No,DSL,No internet service,Yes,Yes,Month-to-month,Electronic check,108.21,No
CUST100123,Male,0.0,No,Yes,71.0,Yes,No,No,Yes,No internet service,Month-to-month,Mailed check,27.04,No
CUST100124,Female,0.0,No,No,47.0,No,No,No internet service,Yes,No,Two year,Bank transfer (automatic),37.95,Yes
CUST100125,Female,0.0,No,Yes,3.0,Yes,Fiber optic,No,Yes,Yes,Two year,Electronic check,116.67,Yes
CUST100126,Male,0.0,No,No,15.0,Yes,Fiber optic,No,No,No,Two year,Credit card (automatic),59.97,No
CUST100127,Female,0.0,Yes,Yes,12.0,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Credit card (automatic),107.01,No
CUST100128,Female,1.0,No,No,63.0,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Credit card (automatic),57.11,Yes
CUST100129,Female,1.0,No,Yes,52.0,Yes,No,No,No,Yes,Two year,Bank transfer (automatic),70.87,No
CUST100130,Female,0.0,Yes,No,26.0,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,Credit card (automatic),114.59,No
CUST100131,Female,0.0,No,No,38.0,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,Mailed check,115.55,No
CUST100132,Male,0.0,No,Yes,,Yes,Fiber optic,Yes,Yes,,One year,Mailed check,34.88,No
CUST100133,Female,0.0,No,Yes,29.0,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Mailed check,87.03,No
CUST100134,Female,1.0,No,No,45.0,Yes,No,Yes,No internet service,,Month-to-month,Mailed check,61.27,Yes
CUST100135,Male,0.0,No,No,14.0,Yes,DSL,No,No,No,Month-to-month,,33.28,No
CUST100136,Female,0.0,Yes,No,54.0,Yes,DSL,No,No internet service,Yes,Two year,Mailed check,20.63,Yes
CUST100137,Male,0.0,Yes,Yes,68.0,Yes,DSL,Yes,Yes,No,Two year,,69.8,No
CUST100138,Male,0.0,No,Yes,70.0,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Credit card (automatic),27.56,No
CUST100139,Male,1.0,Yes,Yes,,Yes,DSL,No,Yes,No internet service,Month-to-month,Bank transfer (automatic),113.71,No
CUST100140,Female,0.0,No,No,29.0,Yes,No,Yes,No,Yes,Month-to-month,Credit card (automatic),,No
CUST100141,Male,0.0,Yes,Yes,19.0,No,No,Yes,Yes,No,Month-to-month,Credit card (automatic),62.86,No
CUST100142,Male,0.0,No,Yes,45.0,Yes,No,,No internet service,Yes,Month-to-month,Electronic check,92.09,No
CUST100143,Male,1.0,No,No,23.0,No,Fiber optic,No internet service,No,No,Month-to-month,Bank transfer (automatic),69.78,Yes
CUST100144,Female,,No,No,28.0,Yes,Fiber optic,No internet service,,Yes,Two year,Bank transfer (automatic),56.49,No
CUST100145,Female,0.0,Yes,Yes,9.0,Yes,No,Yes,No,No,Two year,Credit card (automatic),82.22,Yes
CUST100146,Male,1.0,No,Yes,40.0,Yes,No,No internet service,Yes,No,Two year,Credit card (automatic),38.16,No
CUST100147,Male,0.0,No,Yes,38.0,Yes,,No internet service,No,No internet service,One year,Electronic check,68.06,Yes
CUST100148,Female,1.0,Yes,No,39.0,Yes,DSL,Yes,Yes,Yes,One year,Electronic check,116.24,Yes
CUST100149,Male,0.0,No,Yes,24.0,Yes,DSL,Yes,Yes,Yes,One year,,98.05,No
CUST100150,Female,0.0,Yes,No,54.0,Yes,Fiber optic,Yes,No internet service,No,One year,Mailed check,52.14,No
CUST100151,Male,0.0,No,No,43.0,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Credit card (automatic),111.09,No
CUST100152,Female,0.0,Yes,Yes,12.0,Yes,DSL,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),107.24,No
CUST100153,Male,0.0,No,Yes,26.0,Yes,DSL,Yes,No,No,Month-to-month,Bank transfer (automatic),,No
CUST100154,Male,0.0,No,No,47.0,Yes,Fiber optic,No internet service,Yes,Yes,One year,Credit card (automatic),113.29,Yes
CUST100155,Female,0.0,No,No,8.0,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Bank transfer (automatic),67.51,No
CUST100156,Male,0.0,No,No,25.0,Yes,No,No,No,Yes,Month-to-month,Bank transfer (automatic),113.15,No
CUST100157,Female,0.0,No,Yes,62.0,Yes,DSL,No internet service,No,Yes,Two year,Electronic check,74.07,Yes
CUST100158,Female,0.0,No,No,31.0,Yes,No,No internet service,No internet service,Yes,Month-to-month,Credit card (automatic),27.87,No
CUST100159,Female,0.0,Yes,,36.0,Yes,DSL,Yes,Yes,No internet service,Month-to-month,Mailed check,32.2,No
CUST100160,Female,1.0,No,Yes,49.0,Yes,DSL,Yes,No,No,Two year,Mailed check,68.78,No
CUST100161,Female,1.0,Yes,No,23.0,No,Fiber optic,No,No internet service,Yes,Month-to-month,Bank transfer (automatic),20.53,No
CUST100162,Male,0.0,No,No,59.0,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,96.38,
CUST100163,Male,,No,No,1.0,Yes,Fiber optic,No internet service,No,No,One year,Mailed check,49.38,No
CUST100164,Male,0.0,No,Yes,34.0,Yes,DSL,No internet service,No,No,,Bank transfer (automatic),21.19,Yes
CUST100165,Female,0.0,Yes,No,43.0,Yes,DSL,No,Yes,Yes,Month-to-month,Credit card (automatic),84.16,No
CUST100166,Male,0.0,Yes,Yes,17.0,Yes,Fiber optic,No,No internet service,No,Month-to-month,Electronic check,79.78,Yes
CUST100167,Male,0.0,No,Yes,56.0,Yes,DSL,Yes,Yes,No internet service,Month-to-month,Credit card (automatic),30.91,Yes
CUST100168,Male,0.0,No,Yes,,Yes,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Credit card (automatic),36.49,No
CUST100169,Male,0.0,,No,46.0,Yes,DSL,No internet service,No,No,Two year,Bank transfer (automatic),,No
CUST100170,Male,0.0,Yes,Yes,45.0,Yes,Fiber optic,No internet service,No,No internet service,Two year,,33.41,No
CUST100171,Male,0.0,No,No,56.0,No,DSL,No,No,Yes,Two year,Bank transfer (automatic),18.66,Yes
CUST100172,Female,0.0,No,No,14.0,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Mailed check,119.97,No
CUST100173,Female,0.0,Yes,No,11.0,Yes,No,No internet service,No internet service,Yes,One year,Bank transfer (automatic),47.6,No
CUST100174,Female,0.0,Yes,No,41.0,Yes,DSL,Yes,No internet service,Yes,One year,Bank transfer (automatic),108.89,No
CUST100175,Male,0.0,No,Yes,69.0,,No,No internet service,No,Yes,Month-to-month,Bank transfer (automatic),60.24,Yes
CUST100176,Female,0.0,Yes,Yes,56.0,Yes,DSL,Yes,No,Yes,One year,Electronic check,116.2,Yes
CUST100177,Male,0.0,Yes,Yes,15.0,Yes,DSL,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),61.85,No
CUST100178,Female,0.0,Yes,No,29.0,Yes,No,Yes,No,Yes,One year,Credit card (automatic),94.43,No
CUST100179,Female,0.0,No,Yes,19.0,,Fiber optic,No,Yes,Yes,One year,Mailed check,116.5,Yes
CUST100180,Female,0.0,Yes,Yes,56.0,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer (automatic),46.8,No
CUST100181,Male,0.0,Yes,No,36.0,Yes,DSL,Yes,No,No,One year,Electronic check,21.03,No
CUST100182,Male,0.0,Yes,Yes,31.0,Yes,DSL,No,No internet service,No internet service,Month-to-month,Mailed check,63.76,Yes
CUST100183,Female,0.0,No,No,0.0,No,,No internet service,Yes,No,Month-to-month,Credit card (automatic),95.65,Yes
CUST100184,Male,0.0,No,Yes,45.0,Yes,No,Yes,Yes,No internet service,Month-to-month,Credit card (automatic),75.53,Yes
CUST100185,Male,1.0,Yes,Yes,31.0,Yes,No,No internet service,No internet service,No,Two year,Electronic check,103.2,No
CUST100186,Male,0.0,No,Yes,2.0,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Bank transfer (automatic),45.2,Yes
CUST100187,Male,0.0,No,Yes,14.0,Yes,DSL,No internet service,No,Yes,Two year,Electronic check,24.93,No
CUST100188,Male,1.0,No,Yes,52.0,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Bank transfer (automatic),,No
CUST100189,Male,0.0,No,Yes,53.0,No,No,,No,,Month-to-month,Credit card (automatic),41.33,Yes
CUST100190,Female,0.0,Yes,Yes,35.0,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),52.2,No
CUST100191,Female,0.0,No,Yes,54.0,Yes,No,Yes,Yes,No internet service,Month-to-month,Mailed check,49.8,No
CUST100192,Female,0.0,No,Yes,53.0,Yes,DSL,No internet service,Yes,Yes,Two year,Mailed check,41.89,No
CUST100193,Male,0.0,No,No,44.0,Yes,No,Yes,No,No,Month-to-month,Credit card (automatic),30.43,No
CUST100194,Female,1.0,No,No,15.0,Yes,No,No,Yes,Yes,,Credit card (automatic),71.23,No
CUST100195,Male,1.0,No,Yes,30.0,No,Fiber optic,Yes,No,No internet service,One year,Mailed check,90.56,
CUST100196,Male,0.0,No,No,58.0,Yes,Fiber optic,No,No internet service,No,Month-to-month,Bank transfer (automatic),110.65,No
CUST100197,Male,0.0,No,Yes,22.0,Yes,DSL,No,Yes,Yes,Month-to-month,Mailed check,46.13,No
CUST100198,Male,0.0,Yes,Yes,47.0,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,85.37,No
CUST100199,Female,0.0,Yes,Yes,59.0,Yes,No,No,No internet service,Yes,One year,Bank transfer (automatic),71.81,Yes
CUST100200,,0.0,Yes,Yes,38.0,Yes,No,No,Yes,No internet service,Two year,Bank transfer (automatic),108.16,No
CUST100201,Female,0.0,No,Yes,36.0,Yes,No,Yes,No,,One year,Bank transfer (automatic),88.9,No
CUST100202,Male,0.0,Yes,No,13.0,No,DSL,,No,No,Month-to-month,Credit card (automatic),36.66,Yes
CUST100203,Female,0.0,Yes,No,35.0,Yes,Fiber optic,No,No,No,One year,Credit card (automatic),45.17,No
CUST100204,Male,0.0,Yes,Yes,3.0,Yes,Fiber optic,Yes,No,Yes,One year,Mailed check,81.7,Yes
CUST100205,Male,0.0,No,Yes,8.0,Yes,DSL,No,,No,Month-to-month,Bank transfer (automatic),94.62,No
CUST100206,Female,0.0,No,No,39.0,Yes,No,Yes,No,Yes,Month-to-month,Mailed check,26.03,No
CUST100207,Female,1.0,Yes,No,15.0,Yes,DSL,No,No internet service,No,Month-to-month,Bank transfer (automatic),83.93,Yes
CUST100208,,0.0,No,Yes,25.0,Yes,Fiber optic,Yes,No internet service,No,One year,Mailed check,35.38,No
CUST100209,Female,0.0,,No,25.0,Yes,DSL,Yes,Yes,No internet service,One year,Credit card (automatic),114.18,No
CUST100210,Male,0.0,Yes,Yes,34.0,Yes,No,No,,No internet service,Month-to-month,Electronic check,116.3,No
CUST100211,Female,0.0,No,No,50.0,Yes,DSL,Yes,No,No internet service,Two year,Bank transfer (automatic),105.64,Yes
CUST100212,Female,1.0,Yes,,32.0,Yes,Fiber optic,No internet service,No,No internet service,Two year,Mailed check,105.77,No
CUST100213,Male,1.0,Yes,Yes,60.0,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Mailed check,116.04,No
CUST100214,Female,0.0,No,No,34.0,Yes,DSL,No internet service,No,No internet service,Month-to-month,Mailed check,,No
CUST100215,Male,0.0,Yes,No,71.0,Yes,No,Yes,,Yes,Month-to-month,Electronic check,71.31,No
CUST100216,Male,0.0,No,No,71.0,Yes,DSL,,No internet service,No internet service,One year,Electronic check,31.66,No
CUST100217,Male,0.0,Yes,No,30.0,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Mailed check,64.53,Yes
CUST100218,Male,0.0,,No,55.0,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,28.67,No
CUST100219,Female,0.0,No,Yes,32.0,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Bank transfer (automatic),88.55,Yes
CUST100220,Male,0.0,No,No,63.0,Yes,DSL,No internet service,No,No internet service,,Bank transfer (automatic),25.72,No
CUST100221,Male,0.0,Yes,No,55.0,Yes,No,No internet service,Yes,No,Two year,,105.68,Yes
CUST100222,Female,0.0,No,No,24.0,No,Fiber optic,,Yes,No internet service,Month-to-month,Credit card (automatic),104.86,Yes
CUST100223,Male,0.0,,Yes,23.0,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),116.49,No
CUST100224,Female,,No,No,63.0,Yes,No,No,Yes,Yes,Two year,Bank transfer (automatic),,Yes
CUST100225,Male,0.0,No,Yes,38.0,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Bank transfer (automatic),101.5,No
CUST100226,Female,0.0,No,No,50.0,Yes,No,Yes,No internet service,Yes,Month-to-month,Electronic check,,No
